"Points:0","Points:1","Points:2"
0.40005,0.11975,0
0.40394,0.11958,0
0.40004,0.11977,0
0.40394,0.11959,0
0.40003,0.11978,0
0.40395,0.11961,0
0.40003,0.1198,0
0.40395,0.11962,0
0.40002,0.11981,0
0.40396,0.11964,0
0.40001,0.11983,0
0.40396,0.11965,0
0.4,0.11984,0
0.40397,0.11966,0
0.40003,0.11985,0
0.40397,0.11968,0
0.40008,0.11986,0
0.40398,0.11969,0
0.40014,0.11988,0
0.40398,0.1197,0
0.40019,0.11989,0
0.40399,0.11972,0
0.40024,0.1199,0
0.40399,0.11973,0
0.4003,0.11991,0
0.404,0.11975,0
0.40035,0.11992,0
0.404,0.11976,0
0.4004,0.11993,0
0.40401,0.11977,0
0.40045,0.11994,0
0.40401,0.11979,0
0.40051,0.11996,0
0.40402,0.1198,0
0.40056,0.11997,0
0.40402,0.11981,0
0.40061,0.11998,0
0.40403,0.11983,0
0.40067,0.11999,0
0.40403,0.11984,0
0.40077,0.12,0
0.40404,0.11985,0
0.40108,0.12,0
0.40404,0.11987,0
0.40139,0.12,0
0.40405,0.11988,0
0.4017,0.12,0
0.40405,0.1199,0
0.40201,0.12,0
0.40406,0.11991,0
0.40232,0.12,0
0.40406,0.11992,0
0.40263,0.12,0
0.40407,0.11994,0
0.40294,0.12,0
0.40407,0.11995,0
0.40325,0.12,0
0.40408,0.11996,0
0.40356,0.12,0
0.40408,0.11998,0
0.40388,0.12,0
0.40409,0.11999,0
0.4,0.10011,0
0.40338,0.10007,0
0.4,0.10023,0
0.4033,0.10019,0
0.4,0.10035,0
0.40323,0.10031,0
0.4,0.10047,0
0.40316,0.10043,0
0.4,0.10059,0
0.40308,0.10055,0
0.4,0.10071,0
0.40301,0.10067,0
0.4,0.10082,0
0.40294,0.10079,0
0.4,0.10094,0
0.40286,0.10091,0
0.4,0.10106,0
0.40279,0.10103,0
0.4,0.10118,0
0.40272,0.10116,0
0.4,0.1013,0
0.40265,0.10128,0
0.4,0.10142,0
0.40257,0.1014,0
0.4,0.10154,0
0.4025,0.10152,0
0.4,0.10166,0
0.40243,0.10164,0
0.4,0.10178,0
0.40235,0.10176,0
0.4,0.1019,0
0.40228,0.10188,0
0.4,0.10202,0
0.40221,0.102,0
0.4,0.10214,0
0.40213,0.10212,0
0.4,0.10226,0
0.40206,0.10224,0
0.4,0.10238,0
0.40199,0.10236,0
0.4,0.1025,0
0.40191,0.10248,0
0.4,0.10262,0
0.40184,0.1026,0
0.4,0.10274,0
0.40177,0.10272,0
0.4,0.10286,0
0.40169,0.10284,0
0.4,0.10298,0
0.40162,0.10296,0
0.4,0.1031,0
0.40155,0.10308,0
0.4,0.10321,0
0.40147,0.1032,0
0.4,0.10333,0
0.4014,0.10332,0
0.40003,0.10345,0
0.40133,0.10344,0
0.4001,0.10357,0
0.40126,0.10356,0
0.40018,0.10369,0
0.40118,0.10368,0
0.40025,0.10381,0
0.40111,0.1038,0
0.40033,0.10393,0
0.40104,0.10392,0
0.4004,0.10405,0
0.40096,0.10404,0
0.40048,0.10417,0
0.40089,0.10416,0
0.40055,0.10428,0
0.40082,0.10428,0
0.40063,0.1044,0
0.40074,0.1044,0
0.40067,0.1045,0
0.40069,0.1045,0
0.40062,0.10454,0
0.40069,0.10454,0
0.40056,0.10458,0
0.40069,0.10457,0
0.40051,0.10462,0
0.40069,0.1046,0
0.40045,0.10466,0
0.4007,0.10464,0
0.4004,0.1047,0
0.4007,0.10467,0
0.40034,0.10473,0
0.4007,0.1047,0
0.40029,0.10477,0
0.4007,0.10474,0
0.40023,0.10481,0
0.4007,0.10477,0
0.40018,0.10485,0
0.40071,0.1048,0
0.40012,0.10489,0
0.40071,0.10484,0
0.40007,0.10493,0
0.40071,0.10487,0
0.40001,0.10497,0
0.40071,0.1049,0
0.4,0.105,0
0.40071,0.10494,0
0.4,0.10503,0
0.40072,0.10497,0
0.4,0.10507,0
0.40072,0.10501,0
0.4,0.1051,0
0.40072,0.10504,0
0.4,0.10514,0
0.40072,0.10507,0
0.4,0.10517,0
0.40073,0.10511,0
0.4,0.1052,0
0.40073,0.10514,0
0.4,0.10524,0
0.40073,0.10517,0
0.4,0.10527,0
0.40073,0.10521,0
0.4,0.1053,0
0.40073,0.10524,0
0.4,0.10534,0
0.40074,0.10527,0
0.4,0.10537,0
0.40074,0.10531,0
0.4,0.10541,0
0.40074,0.10534,0
0.4,0.10544,0
0.40074,0.10537,0
0.4,0.10547,0
0.40074,0.10541,0
0.4,0.10551,0
0.40075,0.10544,0
0.4,0.10554,0
0.40075,0.10548,0
0.4,0.10557,0
0.40075,0.10551,0
0.4,0.10561,0
0.40075,0.10554,0
0.4,0.10564,0
0.40075,0.10558,0
0.4,0.10568,0
0.40076,0.10561,0
0.4,0.10571,0
0.40076,0.10564,0
